Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3547809;RMSP (exceto capital);Santo André;99868;3567;;;
3547908;Interior;Santo Antônio da Alegria;543;25;;;
3548005;Interior;Santo Antônio de Posse;4963;73;;;
3548054;Interior;Santo Antônio do Aracanguá;593;40;;;
3548104;Interior;Santo Antônio do Jardim;1419;25;;;
3548203;Interior;Santo Antônio do Pinhal;1578;10;;;
3548302;Interior;Santo Expedito;216;11;;;
3548401;Interior;Santópolis do Aguapeí;762;19;;;
3548500;Interior;Santos;87023;2661;;;
3548609;Interior;São Bento do Sapucaí;821;14;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;77623;3867;;;
3548807;RMSP (exceto capital);São Caetano do Sul;38586;1184;;;
3548906;Interior;São Carlos;36760;643;;;
3549003;Interior;São Francisco;842;21;;;
3549102;Interior;São João da Boa Vista;25944;390;;;
3549201;Interior;São João das Duas Pontes;779;10;;;
3549250;Interior;São João de Iracema;923;10;;;
3549300;Interior;São João do Pau d'Alho;220;4;;;
3549409;Interior;São Joaquim da Barra;7453;182;;;
3549508;Interior;São José da Bela Vista;338;23;;;
3549607;Interior;São José do Barreiro;763;9;;;
3549706;Interior;São José do Rio Pardo;8031;184;;;
3549805;Interior;São José do Rio Preto;163804;3225;;;
3549904;Interior;São José dos Campos;132869;2394;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;711;42;;;
3550001;Interior;São Luiz do Paraitinga;975;37;;;
3550100;Interior;São Manuel;6700;175;;;
3550209;Interior;São Miguel Arcanjo;4825;90;;;
3550308;Capital;São Paulo;1179095;44951;;;
3550407;Interior;São Pedro;10721;126;;;
3550506;Interior;São Pedro do Turvo;1022;16;;;
3550605;Interior;São Roque;7213;137;;;
3550704;Interior;São Sebastião;8796;204;;;
3550803;Interior;São Sebastião da Grama;2771;39;;;
3550902;Interior;São Simão;1693;39;;;
3551009;Interior;São Vicente;31455;1471;;;
3551108;Interior;Sarapuí;525;7;;;
3551207;Interior;Sarutaiá;155;23;;;
3551306;Interior;Sebastianópolis do Sul;362;12;;;
3551405;Interior;Serra Azul;1474;21;;;
3551504;Interior;Serrana;11949;151;;;
3551603;Interior;Serra Negra;7050;102;;;
3551702;Interior;Sertãozinho;20313;573;;;
3551801;Interior;Sete Barras;3028;48;;;
3551900;Interior;Severínia;2844;85;;;
3552007;Interior;Silveiras;568;11;;;
3552106;Interior;Socorro;6600;116;;;
3552205;Interior;Sorocaba;112081;3249;;;
3552304;Interior;Sud Mennucci;967;24;;;
3552403;Interior;Sumaré;41891;1007;;;
